NUM_CORR_ACI;COD_LOCAL_EVENTO_ACI;NUM_TRAT_ACO_PAN;MES;AL_CAS;GRAU;TRAT;S_MAX
593818;OB2;1;201402;342;AS;C1;10
593820;OB2;1;201402;148;AS;C1;10
593842;OB2;1;201402;168;AA;C1;9
593892;OB2;1;201402;1072;AA;F1;4
593919;OB1;1;201402;236;AA;C1;15
594089;OB2;1;201403;121;AS;C1;9
594205;OB1;1;201403;136;AS;C1;9
594258;OB1;1;201403;128;AS;C1;9
594288;OB2;1;201403;21;AS;C1;10
594289;OB2;1;201403;260;AS;C1;10
594337;OB1;1;201403;480;AS;C1;9
594355;OB2;1;201403;636;AA;C1;8
594366;OB1;1;201403;417;AA;C1;9
594385;OB2;1;201403;108;AS;C1;10
594421;OB2;1;201403;185;AA;C1;20
594433;OB2;1;201403;321;AS;F8;2
594490;OB2;1;201403;137;AA;C1;8
594494;OB2;1;201403;249;AA;C1;10
594495;OB2;1;201403;70;AA;C1;9
594498;OB2;1;201403;120;AA;C1;9
594526;OB2;1;201403;120;AC;C1;15
594564;OB1;1;201403;509;AA;C1;6
594658;OB2;1;201403;174;AA;C1;20
594697;OB1;1;201403;191;AA;C1;8
594701;OB2;1;201403;752;AA;C1;4
594704;OB2;1;201403;456;AA;C1;4
594718;OB1;1;201403;288;AA;C1;20
594749;OB1;1;201404;160;AA;C1;10
594769;OB2;1;201404;367;AA;C1;20
594783;OB1;1;201404;464;AA;C1;10
594801;OB2;1;201404;79;AS;C1;10
594808;OB1;1;201404;270;AS;C1;8
594820;OB1;1;201404;627;AA;C1;6
594835;OB1;1;201404;134;AA;C1;10
594904;OB1;1;201404;423;AA;C1;6
594927;OB1;1;201404;653;AA;C1;20
594959;OB2;1;201404;416;AA;C1;10
594961;OB1;1;201404;87;AA;C1;10
594982;OB1;1;201404;39;AS;C1;9
594998;OB1;1;201404;212;AA;C1;8
595016;OB1;1;201404;131;AS;C1;8
595077;OB2;1;201404;342;AS;F1;4
595089;OB2;1;201404;193;AS;C1;10
595096;OB2;1;201404;344;AA;C1;6
595099;OB2;1;201404;315;AA;C1;6
595148;OB2;1;201404;561;AA;C1;6
595157;OB2;1;201404;211;AS;C1;9
595171;OB2;1;201404;506;AA;C1;10
595213;OB1;1;201404;85;AS;C1;4
595218;OB1;2;201404;126;AS;C1;8
595220;OB1;1;201404;123;AS;C1;8
595256;OB1;1;201404;72;AS;C1;9
595258;OB1;1;201404;378;AA;C1;9
595260;OB1;1;201404;228;AA;C1;9
595264;OB1;1;201404;114;AA;C1;9
595339;OB1;1;201404;603;AS;F8;7
595361;OB2;2;201404;652;AA;C1;8
595371;OB1;1;201404;572;AA;C1;20
595518;OB1;1;201405;362;AA;C1;8
595545;OB1;1;201405;185;AA;C1;20
595576;OB1;1;201405;451;AS;F8;2
595639;OB1;1;201405;200;AA;C1;10
595665;OB2;1;201405;238;AA;C1;10
595670;OB2;1;201405;120;AA;C1;10
595671;OB2;1;201405;230;AA;C1;10
595672;OB1;1;201405;297;AA;C1;10
595673;OB1;1;201405;282;AA;C1;10
595701;OB2;1;201405;610;AA;C1;10
595706;OB2;1;201405;166;AA;C1;10
595723;OB1;1;201405;328;AA;C1;9
595758;OB1;1;201405;705;AA;C1;15
595765;OB1;1;201405;37;AS;C1;9
595787;OB2;1;201405;660;AS;C1;3
595804;OB2;1;201405;393;AA;C1;10
595807;OB2;1;201405;30;AA;C1;10
595835;OB1;1;201405;221;AS;C1;8
595853;OB1;1;201405;588;AA;C1;6
595856;OB1;1;201405;828;AA;C1;6
595871;OB1;1;201405;342;AA;C1;20
595906;OB1;1;201405;96;AS;C1;10
595981;OB1;1;201405;280;AA;C1;20
596026;OB1;1;201405;543;AA;C1;10
596077;OB1;1;201405;579;AA;C1;20
596087;OB1;1;201405;206;AA;C1;9
596097;OB2;1;201406;55;AA;C1;9
596121;OB1;1;201406;67;AA;C1;15
596151;OB1;1;201406;441;AA;C1;10
596181;OB2;1;201406;417;AA;C1;8
