NUM_CORR_ACI;SIGLA_ACO;TEMP_INTER_SUBLANCA_LD;P;PS_TA;fam_TA
496707;DDCHAA0090000360X9;1584;12.375;7900;max
498448;WOMAAS008000150099;1622;10.16;1900;media
496521;24JDAA000100010099;1569;8.915;0;min
500790;YUCBAA007000153099;1577;10.35;2100;media
500998;24JDAA000100010099;1603;12.86;1900;media
501402;KVCFAS018000085099;1601;15.185;0;min
496978;YRCCAA009000125099;1595;11.46;2100;media
496977;24JDAA000100010099;1618;9.665;2100;media
497074;7KMEAS007000180099;1609;8.785;2000;media
500891;RJZHAS012000120099;1660;13.64;8100;max
497404;JYCHAS0160001260X9;1664;13.37;0;min
500590;EWZBAA006000120099;1630;40.96;0;min
496535;24JDAA000100010099;1615;10.555;0;min
502195;WOMAAS008000150099;1606;9.76;2100;media
502296;EWZBAA006000120099;1618;31.68;2100;media
502672;ZGCBAS018000160099;1571;16.07;0;min
500728;KVCCAS015000085099;1613;18.09;0;min
496682;TGCDAA008000061099;1627;14.875;0;min
496544;84D1AS000150050099;1616;14.02;7900;max
498466;WOMAAS008000150099;1564;10.355;2100;media
501518;24JDAA000100010099;1586;9.675;1900;media
501211;GXCHAS016000145099;1617;19.95;0;min
497311;DDC1AA0160000360X9;1664;22.67;0;min
498044;WOMAAS008000150099;1651;8.155;0;min
498907;MBA2AA000150010099;1561;10.94;2000;media
501258;ZMREAS008000160099;1568;6.8;2000;media
501210;GXCHAS016000145099;1609;11.495;2100;media
498717;EWZBAA006000120099;1642;17.485;2000;media
497352;GXCHAS018000145099;1615;16.715;2000;media
497188;24JDAA000100010099;1582;11.15;0;min
500827;LQC1AA006000066099;1609;12.92;0;min
501272;ZMREAS008000160099;1597;7.62;2000;media
498519;AACHAA0120000420X9;1586;14.685;8100;max
498235;WOMAAS008000150099;1587;9.94;0;min
502611;MBA2AA000150010099;1606;17.265;2100;media
496489;KCCBAS007000120099;1638;36.635;2100;media
497303;DDC1AA0150001250X9;1686;15.78;0;min
502173;24JDAA000100010099;1564;15.915;0;min
502666;YUCBAA009000153099;1563;10.1;1900;media
496945;24JDAA000100010099;1625;14.36;0;min
496598;WRCBAA010000150099;1599;10.68;0;min
497964;AACDAA0110001510X9;1570;9.325;1900;media
497081;FVZ1AA000150064099;1643;14.735;0;min
497639;AACDAA0110001510X9;1621;19.75;2000;media
498459;PMCAAS015000155099;1644;17.28;0;min
500880;GXCHAS018000145099;1570;11.7;7900;max
502867;KVCHAS016000115099;1621;19.865;0;min
498159;MBA2AA000150010099;1630;22.97;0;min
502234;ZMREAS008000160099;1554;7.055;2100;media
496466;MBA2AA000150010099;1605;19.495;8100;max
501506;GXCHAS018000145099;1602;14.405;8100;max
501260;ZMREAS008000160099;1578;7.575;0;min
501273;PLZ1AS000150105099;1578;19.76;8100;max
501403;KVCFAS018000085099;1604;16.505;0;min
498170;VJQ1AA000150015099;1650;14.085;0;min
496832;FPB3AA0030000230X9;1638;14.675;8000;max
500368;AACHAA0120000420X9;1517;6.99;2100;media
497999;7BBBAS013000125099;1596;12.715;0;min
502437;WOMAAS008000150099;1626;11.155;0;min
498647;GBNHAS0450001260X9;1541;8.7;7900;max
498900;RJZHAS014000130099;1665;25.47;0;min
498106;WOMAAS008000150099;1599;8.585;2100;media
501830;ZMREAS008000160099;1604;19.02;0;min
502037;EWZBAA006000120099;1605;15.785;0;min
501066;MBA2AA000150010099;1583;10.105;8100;max
498089;YRCEAA009000125099;1619;10.475;0;min
502657;EWZBAA006000120099;1700;15.21;0;min
496954;DDC1AA0160000560X9;1569;10.49;0;min
502300;DGC2AA006000040099;1561;10.975;1900;media
496751;7PMBAS010000135099;1602;9.99;2100;media
498037;7DBBAS015000120099;1612;11.35;1900;media
500992;ZMREAS008000160099;1612;10.175;1900;media
500667;LQC1AA006000066099;1597;22.46;8000;max
500973;MBA2AA000150010099;1573;8.49;2100;media
497073;7KMEAS007000180099;1607;6.685;2100;media
502816;62D2AC0030000260X9;1639;16.48;2100;media
500688;MBA2AA000150010099;1598;19.57;2000;media
501835;MBA2AA000150010099;1634;27.94;0;min
497150;GXCCAS016000145099;1551;21.145;2100;media
502113;ZMREAS008000160099;1562;6.445;0;min
501655;TGCDAA008000061099;1701;17.75;0;min
496561;31Z2AA000240026099;1581;11.59;8000;max
498346;ZSMAAS008000157099;1607;13.045;2000;media
498359;AACDAA0110001510X9;1566;16.05;2100;media
502851;WOMAAS008000150099;1643;12.625;1900;media
500503;KHCEAA0160000560X9;1681;9.92;0;min
498364;9LMAAS007000180099;1640;12.02;0;min
498795;RJZHAS012000120099;1623;16.815;0;min
500810;TBCDAS0070002000X9;1574;10.57;0;min
501526;ZMREAS008000160099;1555;6.655;0;min
498386;VJQ1AA000150015099;1552;7.09;7900;max
497371;WOMAAS008000150099;1608;9.14;0;min
502297;AACDAA0110001510X9;1593;20.435;0;min
501096;DDC1AA0160000560X9;1595;18.075;0;min
498753;WOMAAS008000150099;1652;8.975;0;min
501642;JYCHAS0160001060X9;1576;7.525;7900;max
501385;DGC2AA003000021099;1545;6.175;0;min
500625;DGC2AA003000021099;1619;23.85;0;min
497242;MBA2AA000150010099;1633;17.43;0;min
496597;73CBAA010000150099;1608;11.015;0;min
502190;WOMAAS008000150099;1565;8.23;2100;media
497657;7PMBAS010000135099;1588;8.79;1900;media
501513;MBA2AA000150010099;1580;9.01;2100;media
502115;ZMREAS008000160099;1599;10.19;1900;media
502179;24JDAA000100010099;1562;7.645;2100;media
496955;DDC1AA0160000560X9;1626;13.47;0;min
498353;ZSMAAS008000157099;1603;9.03;2100;media
497619;MBA2AA000150010099;1619;17.765;0;min
502664;WOMAAS008000150099;1537;11.735;2000;media
502298;AACDAA0110001510X9;1562;12.725;1900;media
501994;GJCAAS013000100099;1600;8.355;2100;media
