"NUM_CORR_ACI";"COD_LOCAL_EVENTO_ACI";"NUM_TRAT_ACO_PAN";"MES";"AL_CAS";"GRAU";"TRAT";"S_MAX";"family"
"1206";593563;"OB2";1;201402;46;"AA";"C1";10;"AA-C1-10"
"1219";593747;"OB2";1;201402;55;"AA";"C1";10;"AA-C1-10"
"1220";593750;"OB2";1;201402;162;"AA";"C1";10;"AA-C1-10"
"1236";594141;"OB1";NA;201403;0;"AA";"C1";10;"AA-C1-10"
"1237";594141;"OB2";2;201403;706;"AA";"C1";10;"AA-C1-10"
"1238";594156;"OB1";1;201403;158;"AA";"C1";10;"AA-C1-10"
"1239";594157;"OB2";1;201403;217;"AA";"C1";10;"AA-C1-10"
"1244";594284;"OB2";1;201403;63;"AA";"C1";10;"AA-C1-10"
"1251";594395;"OB1";1;201403;196;"AA";"C1";10;"AA-C1-10"
"1258";594640;"OB1";1;201403;283;"AA";"C1";10;"AA-C1-10"
"1259";594644;"OB1";1;201403;203;"AA";"C1";10;"AA-C1-10"
"1264";594832;"OB1";1;201404;192;"AA";"C1";10;"AA-C1-10"
"1265";594834;"OB2";1;201404;202;"AA";"C1";10;"AA-C1-10"
"1273";594955;"OB1";1;201404;51;"AA";"C1";10;"AA-C1-10"
"1274";594960;"OB1";1;201404;179;"AA";"C1";10;"AA-C1-10"
"1286";595311;"OB2";1;201404;452;"AA";"C1";10;"AA-C1-10"
"1288";595366;"OB1";1;201404;153;"AA";"C1";10;"AA-C1-10"
"1291";595451;"OB2";1;201405;134;"AA";"C1";10;"AA-C1-10"
"1298";595586;"OB1";1;201405;443;"AA";"C1";10;"AA-C1-10"
"1302";595708;"OB1";1;201405;130;"AA";"C1";10;"AA-C1-10"
"1320";596072;"OB2";1;201405;653;"AA";"C1";10;"AA-C1-10"
"1327";596153;"OB1";1;201406;441;"AA";"C1";10;"AA-C1-10"
"1328";596154;"OB2";1;201406;206;"AA";"C1";10;"AA-C1-10"
"1329";596157;"OB1";1;201406;323;"AA";"C1";10;"AA-C1-10"
"1342";596213;"OB2";1;201406;84;"AA";"C1";10;"AA-C1-10"
"1350";596604;"OB2";1;201406;118;"AA";"C1";10;"AA-C1-10"
"1352";596644;"OB1";1;201406;546;"AA";"C1";10;"AA-C1-10"
"1353";596675;"OB2";1;201406;395;"AA";"C1";10;"AA-C1-10"
"1354";596795;"OB1";1;201407;337;"AA";"C1";10;"AA-C1-10"
"1355";596841;"OB2";1;201407;280;"AA";"C1";10;"AA-C1-10"
"1356";596842;"OB1";1;201407;229;"AA";"C1";10;"AA-C1-10"
"1371";597086;"OB1";1;201407;675;"AA";"C1";10;"AA-C1-10"
"1374";597124;"OB2";1;201407;155;"AA";"C1";10;"AA-C1-10"
"1375";597129;"OB2";1;201407;158;"AA";"C1";10;"AA-C1-10"
"1384";597325;"OB1";1;201407;599;"AA";"C1";10;"AA-C1-10"
"1385";597326;"OB2";1;201407;190;"AA";"C1";10;"AA-C1-10"
"1401";597589;"OB1";1;201408;226;"AA";"C1";10;"AA-C1-10"
"1407";597639;"OB1";1;201408;764;"AA";"C1";10;"AA-C1-10"
"1430";597981;"OB2";1;201408;592;"AA";"C1";10;"AA-C1-10"
"1431";597985;"OB1";1;201408;205;"AA";"C1";10;"AA-C1-10"
"1432";597987;"OB2";1;201408;541;"AA";"C1";10;"AA-C1-10"
"1435";486248;"OB1";1;201309;437;"AA";"C1";10;"AA-C1-10"
"1438";486361;"OB1";1;201309;608;"AA";"C1";10;"AA-C1-10"
"1439";486369;"OB2";1;201309;353;"AA";"C1";10;"AA-C1-10"
"1448";486521;"OB2";1;201309;495;"AA";"C1";10;"AA-C1-10"
"1458";486727;"OB1";1;201309;275;"AA";"C1";10;"AA-C1-10"
"1459";486729;"OB2";1;201309;213;"AA";"C1";10;"AA-C1-10"
"1467";486935;"OB1";1;201309;220;"AA";"C1";10;"AA-C1-10"
"1472";487121;"OB2";1;201310;220;"AA";"C1";10;"AA-C1-10"
"1475";487156;"OB2";1;201310;325;"AA";"C1";10;"AA-C1-10"
"1476";487161;"OB2";1;201310;197;"AA";"C1";10;"AA-C1-10"
"1477";487164;"OB2";1;201310;317;"AA";"C1";10;"AA-C1-10"
"1480";487236;"OB1";1;201310;725;"AA";"C1";10;"AA-C1-10"
"1496";487492;"OB2";1;201310;418;"AA";"C1";10;"AA-C1-10"
