"NUM_CORR_ACI","SIGLA_ACO","P_MIN","P_MAX","C_VIS","P_GUSA","SI_GUSA","cbs","pbs","cp1","pp1","CAL","CALCARIO","DOLCA","DOLCR","NEFE","CAO_INPUT","MGO_INPUT","NEFE_REAL","SUCATA_TOTAL","CARGA_LIQUIDA","PS_TA","sep1","TFS","TPAN"
"491683","DGC2AA003000021099",0.00,25.00,3.00,125.00,38.00,3.20,10.53,2.06,8.05,5624.00,0.00,4737.00,333.00,0.00,7613.97,1904.35,0.00,27400.00,159280.00,8000.00,"***",1610.00,1601.00
"491684","DGC2AA003000021099",0.00,25.00,3.00,112.00,43.00,,,2.22,12.23,5460.00,468.00,4513.00,336.00,197.00,7617.00,1846.17,0.00,27600.00,161680.00,0.00,"***",,1630.00
"491685","DGC2AA003000021099",0.00,25.00,3.00,125.00,33.00,,,2.99,7.95,6767.00,0.00,4213.00,335.00,321.00,8426.10,1788.94,0.00,27900.00,161580.00,5400.00,"***",,1627.00
"491686","DGC2AA003000021099",0.00,25.00,3.00,119.00,40.00,,,2.41,8.13,5751.00,534.00,4195.00,712.00,0.00,7896.03,1826.76,0.00,27400.00,159380.00,4000.00,"***",,1616.00
"491687","DGC2AA006000040099",0.00,25.00,6.00,119.00,46.00,,,3.80,5.84,6320.00,581.00,5015.00,1042.00,0.00,8954.02,2187.56,0.00,27700.00,159880.00,9500.00,"***",1658.00,1602.00
"595388","32Z2AA000190056099",40.00,55.00,0.19,119.00,42.00,4.59,8.66,3.02,9.07,4667.00,508.00,2798.00,3187.00,222.00,7019.54,1755.75,222.00,25700.00,152830.00,0.00,"***",1664.00,1611.00
"595393","JYCHAS0140000860X9",0.00,25.00,14.00,95.00,19.00,,,11.09,18.33,4904.00,508.00,4843.00,402.00,192.00,7302.50,1941.15,192.00,28500.00,149630.00,2100.00,"***",,
"595394","JYCHAS0140000860X9",0.00,25.00,14.00,113.00,22.00,,,12.34,13.89,4012.00,0.00,5259.00,213.00,138.00,6325.77,1974.41,138.00,42000.00,145780.00,8300.00,"***",,1569.00
"595396","JYCHAS0140000860X9",0.00,25.00,14.00,107.00,13.00,5.10,10.82,10.18,11.70,3769.00,0.00,5328.00,206.00,139.00,6130.59,1983.77,139.00,42000.00,144780.00,7200.00,"***",1650.00,
"595397","DDC1AA0160000360X9",0.00,25.00,16.00,121.00,14.00,3.59,12.16,7.63,12.20,6711.00,277.00,5091.00,207.00,0.00,8908.34,2066.69,0.00,27300.00,159780.00,0.00,"***",1646.00,1607.00
"595398","DDC1AA0160000360X9",0.00,25.00,16.00,119.00,18.00,4.74,10.25,10.86,10.94,5403.00,0.00,5117.00,208.00,0.00,7549.59,1996.20,0.00,28100.00,161580.00,0.00,"***",1652.00,1612.00
"595399","DDC1AA0160000360X9",0.00,25.00,16.00,122.00,36.00,,,,,6305.00,0.00,5647.00,209.00,0.00,8643.18,2216.38,0.00,28000.00,159780.00,5000.00,"***",1675.00,
"595400","JYCHAS0140000860X9",0.00,25.00,14.00,125.00,30.00,,,10.24,13.69,6867.00,0.00,5102.00,214.00,215.00,8905.89,2065.53,215.00,27500.00,159880.00,8100.00,"***",,1628.00
"595401","JYCHAS0140000860X9",0.00,25.00,14.00,107.00,23.00,,,11.87,11.74,3583.00,0.00,4571.00,212.00,139.00,5596.23,1725.74,139.00,27500.00,179580.00,7000.00,"***",,1620.00
"595402","GXCAAS018000145099",0.00,25.00,18.00,120.00,16.00,2.52,19.85,,,4100.00,0.00,3528.00,211.00,217.00,5576.07,1407.22,217.00,26100.00,153380.00,0.00,"***",1695.00,1598.00
